Name,Global,Local
C30,814.9926200051701,814.9926200051701
cis-But-2-ene,124.56406799304199,124.56406799304199
Phenolic acid,165.5765047931691,165.57087459655398
Styrene,162.02495497638964,162.02495497638964
Glycerol,143.56201047249414,143.5619554366999
Pentan-2-ol,174.29205382111425,174.29207649503107
Heptan-4-ol,222.54551022441547,222.5454274890925
But-2-en-1one,119.32177097826404,119.32081691264514
Ethylene glycol,109.22743141869995,109.22742674937822
Propanoic acid,120.73775174062138,120.73779019260355
Urea,89.24629600786679,89.24629576928668
Pent-3-one,164.09376683471262,163.54567343795063
"3,4-dihydroxyacetophenone",187.40602879338803,187.40607337315666
prop-1-yne 3-one,93.31756317448931,93.31756071534237
Tetrahydrofuran-3-ol,140.88606540431093,141.55198498311265
Malic acid,159.0091834961699,156.651702261126
Maleic acid,137.10799533915332,137.10799246995552
Citric acid,216.6893593412048,217.38231191860353
